수집시각,장소명,예측시각,예측혼잡도
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 10:00,여유
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 11:00,보통
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 12:00,보통
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 13:00,약간 붐빔
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 14:00,약간 붐빔
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 15:00,약간 붐빔
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 16:00,약간 붐빔
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 17:00,약간 붐빔
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 18:00,보통
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 19:00,보통
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 20:00,여유
2026-05-04 00:32,강남 MICE 관광특구,2026-05-04 21:00,여유
2026-05-04 00:32,동대문 관광특구,2026-05-04 10:00,보통
2026-05-04 00:32,동대문 관광특구,2026-05-04 11:00,약간 붐빔
2026-05-04 00:32,동대문 관광특구,2026-05-04 12:00,약간 붐빔
2026-05-04 00:32,동대문 관광특구,2026-05-04 13:00,약간 붐빔
2026-05-04 00:32,동대문 관광특구,2026-05-04 14:00,약간 붐빔
2026-05-04 00:32,동대문 관광특구,2026-05-04 15:00,약간 붐빔
2026-05-04 00:32,동대문 관광특구,2026-05-04 16:00,약간 붐빔
2026-05-04 00:32,동대문 관광특구,2026-05-04 17:00,약간 붐빔
2026-05-04 00:32,동대문 관광특구,2026-05-04 18:00,보통
2026-05-04 00:32,동대문 관광특구,2026-05-04 19:00,보통
2026-05-04 00:32,동대문 관광특구,2026-05-04 20:00,보통
2026-05-04 00:32,동대문 관광특구,2026-05-04 21:00,여유
2026-05-04 00:32,명동 관광특구,2026-05-04 10:00,약간 붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 11:00,약간 붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 12:00,약간 붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 13:00,붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 14:00,붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 15:00,붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 16:00,붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 17:00,약간 붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 18:00,약간 붐빔
2026-05-04 00:32,명동 관광특구,2026-05-04 19:00,보통
2026-05-04 00:32,명동 관광특구,2026-05-04 20:00,여유
2026-05-04 00:32,명동 관광특구,2026-05-04 21:00,여유
2026-05-04 00:32,이태원 관광특구,2026-05-04 10:00,여유
2026-05-04 00:32,이태원 관광특구,2026-05-04 11:00,여유
2026-05-04 00:32,이태원 관광특구,2026-05-04 12:00,보통
